WRITING 2213F/G|LOL:  HUMOUR WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Writing Humour is designed to help you write for greater impact while introducing you to different aspects of the genre, using a blend of lecture and workshop. You will have the opportunity to write something funny every week, get feedback, and learn about potential markets for your work.|Western Main Campus|3 lecture hours.
WRITING 2211F/G|THE NAKED WRITER:  FUNDAMENTALS OF CREATIVE WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|Students will explore fundamentals of creative writing and challenge their creativity through the writing of fiction, poetry and creative nonfiction. In craft talks and in small workshop settings, students will examine their work and the work of others for the use of basic elements such as character, voice, and setting.|Western Main Campus|3 hours.
WRITING 2210F/G|GRAMMARPHOBIA DEMYSTIFIED:  CONTEMPORARY GRAMMAR FOR WRITERS||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|A study of how the English language works in practice, the course will include consideration of writing processes and the practical application of various theories of rhetoric and syntax. Students will analyse and imitate a variety of types of writing samples, and will develop a sophisticated understanding of writing in English.|Western Main Campus|3 computer lab hours.
WRITING 2209F/G|VISUAL INFORMATION PACKAGING:  DOCUMENT DESIGN||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|This course introduces students to principles of document design and methods of integrating visual and verbal information in print documents such as brochures, manuals, and flyers. Students will apply these principles to a variety of design projects using the computer lab facilities.|Western Main Campus|3 computer lab hours.
WRITING 2208F/G|TEACHING WRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|This course will provide the theoretical background and the practical experience students need to be effective writing teachers and more knowledgeable writers. Class study of composition theory and pedagogy will be complemented by a supervised teaching practicum.|Western Main Campus,Huron,King's|3 hours.
WRITING 2204F/G|SHORT FLICKS: AN INTRODUCTION TO SCREENWRITING||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|In this course students will analyze short and feature film scripts, workshop their own scripts and respond to the scripts of other students, and draft and revise a 15 minute short film script. Topics will include image, three-act structure, dialogue, character development, theme, scene construction, and point of view.|Western Main Campus|3 hours.
WRITING 2203F/G|FROM HEADLINE TO DEADLINE:  WRITING FOR PUBLICATION|MIT 3829F/G; MIT 3870G if taken in 2009-10, 2010-11, or 2011-2012.|At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|The course will improve writing intended for various forms of publication, including media releases and public letters, reviews and reports, newspaper and magazine articles. Students will develop skills in the preparation, writing, copy-editing, and formatting of materials for publication, focusing on effective organization at every level of writing.|Western Main Campus|3 hours.
WRITING 2202F/G|WINNING YOUR ARGUMENT:  RHETORICAL STRATEGY IN A VISUAL AGE||At least 65% in one of Writing 2101F/G, Writing 2125F/G, Writing 2111F/G, Writing 2130F/G or Writing 2131F/G; or at least 65% in one of Writing 1000F/G, Writing 1030F/G, or Writing 1031F/G; or at least 65% in each of MIT 1020E (or both of MIT 1021F/G and MIT 1022F/G) and MIT 1025F/G; or permission of the Department (consult the Undergraduate Program Director, Writing).|An intensive and practical study of exposition in discursive prose, this course reviews the foundations of grammar, introduces students to the rhetoric of presentation and persuasion, and considers diverse types of prose across multiple disciplines, focusing an analysis of visual rhetoric and argumentation, including websites, advertisements, and other visual media.|Western Main Campus,Brescia,King's|3 hours (Main); 2 lecture hours (Brescia, King's)
WRITING 2131F/G|NO BONES ABOUT IT:  WRITING IN THE SCIENCES|||Writing in the Sciences introduces students to the basic principles and genres of writing required for science students in their undergraduate careers: lab reports, summaries of scientific research, and scientific review essays. The course will focus on drafting and revising various reports written on scientific topics.|Western Main Campus|3 hours.
WRITING 2130F/G|BUILDING BETTER (COMMUNICATION) BRIDGES: RHETORIC & PROFESSIONAL COMMUNICATION FOR ENGINEERS|The former Engineering Science 2211F/G.|Engineering Science 1050.|This course introduces students to rhetorical principles and the practices of written, oral, and visual communication in professional engineering contexts. Students will learn strategies for drafting and designing technical and academic documents and for approaching the editing and revision of those documents.|Western Main Campus|3 hours.
WRITING 2125F/G|LET ME EXPLAIN IT TO YOU: EXPOSITION & VISUAL RHETORIC|||An intensive, practical study of exposition in discursive prose, this course aims to develop students' abilities to think critically and write persuasively using argumentation, visual rhetoric, and relevant source materials. Students consider diverse types of prose across disciplines and focus on essay development through writing, rewriting, and revision.|Western Main Campus|3 lecture hours.
WRITING 2111F/G|WRITING IN THE WORLD:  INTRODUCTION TO PROFESSIONAL WRITING|Writing 1031F/G.||This course will introduce students to various genres of workplace writing such as letters, memos, and reports. Topics include: employment communications (application letters and resumes); business writing style; positive, negative, and persuasive messages; cross-cultural communication; oral communication.|Western Main Campus|3 hours.
WRITING 2101F/G|INTRODUCTION TO EXPOSITORY WRITING|||An introduction to the basic principles and techniques of good writing. The course will emphasize practical work and the development of writing skills for a variety of subjects and disciplines.|Western Main Campus,Brescia,Huron,King's|3 hours.
WRITING 2023F/G|ADVANCED ACADEMIC WRITING IN ENGLISH FOR MULTILINGUAL STUDENTS|Writing 1020F/G, Writing 1021F/G.|Writing 0011F/G or Writing 0012F/G or Writing 0002F/G.|Restricted to senior-level multilingual students, this course is intended as a follow-up to Writing 0012F/G. In it students will explore the assumptions behind academic discourse, critically analyze academic readings, and learn to write effectively for a variety of academic discourse communities. It continues to develop an awareness of disciplinary and genre specific exigencies of academic writing that were introduced in Writing 0012F/G, and it refines students' knowledge of rhetorical skills for incorporation of citations, for critical reflection and for synthesis of resources. Students will engage in complex writing projects such as the stand-alone academic summary, the annotated bibliography, critical review, the essay proposal and literature review.|Brescia,Huron|3 lecture hours.
WRITING 1032F/G|INTRODUCTION TO WRITING FOR CHILDHOOD AND YOUTH STUDIES|Writing 0002F/G, Writing 1002F/G, Writing 1020F/G, Writing 1021F/G, Writing 1022F/G, Writing 1025F/G, Writing 1030F/G, Writing 1031F/G, Writing 2230F/G.||This course invites students to practice the academic and cultural literacies, from critical thinking to the construction of theses, to revision, editing, and citation, needed for effective communication in the field of Childhood and Youth Studies.|King's|3 hours.
WRITING 1031F/G|GLOBAL POSITIONING: INTRODUCTION TO RHETORIC AND PROFESSIONAL COMMUNICATION|Writing 2111F/G.||This course will introduce students to the rhetorical principles and practices of written and oral communication in professional contexts. Particular attention will be paid to understanding audience, context, and purpose; modes of persuasion; and the negotiation of cultural difference.|Western Main Campus|3 lecture hours.
WRITING 1030F/G|WRITING FOR PROFESSIONAL SUCCESS IN NURSING|||This course serves as an introduction to the basic principles and techniques of good writing, an integral tool for learning and a vital source of communication in the Nursing profession. The course will emphasize practical work and the development of writing skills for a variety of styles and genres appropriate to the profession.|Western Main Campus|
WRITING 1025F/G|CRITICAL READING AND WRITING|Writing 1020F/G, Writing 1021F/G, Writing 1022F/G and Writing 2101F/G.||Students will explore the assumptions behind academic discourse, critically analyze academic readings, and learn to write effectively for a variety of academic discourse communities.|Huron|3 hours.
WRITING 1022F/G|UNIVERSITY WRITING IN ENGLISH|Writing 1020F/G and Writing 1021F/G.|Writing 0002F/G, Writing 1002F/G or permission of the Department.|Restricted to English as a Second Language students. This course will build on writing skills developed in Writing 0002F/G or Writing 1002F/G. It will provide students with intensive hands-on writing practice on a weekly basis and offer opportunities to develop research-based writing skills through various academic forms.|King's|3 hours.
WRITING 1021F/G|CRITICAL READING & WRITING IN ENGLISH|Writing 1020F/G; Writing 1022F/G.|Writing 0011F/G, Writing 1011F/G or permission of the instructor.|Designed for students unaccustomed to writing in English, this course follows Writing 1011F/G, and develops research and writing skills for more complex writing projects. Readings that explore questions of identity and relationships will stimulate assignments, such as critical summaries, annotated bibliographies, and a research essay|Huron|3 lecture hours. Geared towards ESL students. Restricted to students registered at Huron University College.
